                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals 
                                      10                  1.1712978546040329E+000                 -2.2345108160582741E+000                  4.7154960214695913E+000                 -6.8621691963066409E+000                  5.3556963277717298E+000                  1.0037458330480960E-022                  3.1308189434622652E-004                  9.9968691810565380E-001 
                                      11                  1.1712978546040329E+000                 -2.2345108921282435E+000                  4.7155128750379420E+000                 -6.8429211184566521E+000                  5.3729931828531940E+000                  1.0037458330480960E-022                  3.1308189434622652E-004                  9.9968691810565380E-001 
                                      12                  1.1712978546040329E+000                 -2.2345109649004229E+000                  4.7155303816538181E+000                 -6.8244685847215143E+000                  5.3896274635597470E+000                  1.0037458330480956E-022                  3.1308189434622646E-004                  9.9968691810565380E-001 
                                      13                  1.1712978546040329E+000                 -2.2345110346454207E+000                  4.7155485392077416E+000                 -6.8067484381556742E+000                  5.4056480639210287E+000                  1.0037458330480958E-022                  3.1308189434622646E-004                  9.9968691810565380E-001 
                                      14                  1.1712978546040329E+000                 -2.2345111016019787E+000                  4.7155673456511922E+000                 -6.7897047698772486E+000                  5.4210986578493854E+000                  1.0037458330480959E-022                  3.1308189434622646E-004                  9.9968691810565380E-001 
                                      15                  1.1712978546040329E+000                 -2.2345111659817825E+000                  4.7155867989892775E+000                 -6.7732878497447562E+000                  5.4360184167899517E+000                  1.0037458330480959E-022                  3.1308189434622646E-004                  9.9968691810565380E-001 
                                      16                  1.1712978546040329E+000                 -2.2345112279733930E+000                  4.7156060598791294E+000                 -6.7581019520329653E+000                  5.4498510684955255E+000                  1.0037458330480960E-022                  3.1308189434622652E-004                  9.9968691810565380E-001 
                                      17                  1.1712978546040329E+000                 -2.2345112828463845E+000                  4.7156250237328932E+000                 -6.7440442435920831E+000                  5.4626823810967080E+000                  1.0037458330480960E-022                  3.1308189434622652E-004                  9.9968691810565380E-001 
                                      18                  1.1712978546040329E+000                 -2.2345113359716460E+000                  4.7156445265443265E+000                 -6.7304157597613727E+000                  5.4751454501358081E+000                  1.0037458330480960E-022                  3.1308189434622652E-004                  9.9968691810565380E-001 
                                      19                  1.1712978546040329E+000                 -2.2345113874557039E+000                  4.7156645668960158E+000                 -6.7171911058918470E+000                  5.4872608235786640E+000                  1.0037458330480960E-022                  3.1308189434622652E-004                  9.9968691810565380E-001 
