# datafile= rawdata_47.dat DM606= 13.30 E(606-814)=0.045 compfile= 47tuc_comp.dat
#  F606mF814    F814       F606     comp     cumweight      pos
    0.0635    25.0107    25.0742    94.1753   212.2604        203
    0.0924    25.0131    25.1054    94.1667   213.3223        204
    0.2452    25.0270    25.2722    94.1166   214.3848        205
    0.1742    25.0354    25.2097    94.0861   215.4477        206
    0.3993    25.0397    25.4389    94.0709   216.5107        207
    0.1417    25.0401    25.1819    94.0692   217.5738        208
    0.1682    25.0484    25.2166    94.0395   218.6372        209
    0.1682    25.0484    25.2166    94.0395   219.7005        210
    0.0972    25.0569    25.1541    94.0089   220.7643        211
    0.1489    25.0572    25.2062    94.0076   221.8280        212
    0.1489    25.0572    25.2062    94.0076   222.8918        213
    0.0984    25.0661    25.1645    93.9757   223.9559        214
    0.0984    25.0661    25.1645    93.9757   225.0200        215
    0.0840    25.0736    25.1575    93.9488   226.0844        216
    0.0840    25.0736    25.1575    93.9488   227.1488        217
    0.1201    25.0861    25.2062    93.9037   228.2137        218
    0.1201    25.0861    25.2062    93.9037   229.2786        219
    0.1189    25.0873    25.2062    93.8993   230.3436        220
    0.1189    25.0873    25.2062    93.8993   231.4086        221
    0.2777    25.0952    25.3729    93.8709   232.4739        222
    0.2777    25.0952    25.3729    93.8709   233.5391        223
    0.2741    25.1231    25.3972    93.7704   234.6056        224
    0.3872    25.1246    25.5119    93.7650   235.6721        225
    0.3872    25.1246    25.5119    93.7650   236.7386        226
    0.0815    25.1524    25.2340    93.6650   237.8062        227
    0.0815    25.1524    25.2340    93.6650   238.8738        228
    0.2200    25.1669    25.3868    93.6129   239.9421        229
    0.2200    25.1669    25.3868    93.6129   241.0103        230
    0.1261    25.1704    25.2965    93.6001   242.0787        231
    0.1261    25.1704    25.2965    93.6001   243.1471        232
    0.1887    25.1877    25.3764    93.5378   244.2161        233
    0.2091    25.1916    25.4007    93.5239   245.2854        234
    0.1658    25.1967    25.3625    93.5055   246.3548        235
    0.2031    25.2115    25.4146    93.4522   247.4249        236
    0.1501    25.2262    25.3764    93.3992   248.4956        237
    0.1501    25.2262    25.3764    93.3992   249.5663        238
    0.1345    25.2280    25.3625    93.3929   250.6370        239
    0.1345    25.2280    25.3625    93.3929   251.7077        240
    0.2573    25.2546    25.5119    93.2970   252.7796        241
    0.1417    25.2972    25.4389    93.1872   253.8527        242
    0.2573    25.2998    25.5570    93.1811   254.9259        243
    0.1959    25.3021    25.4980    93.1755   255.9991        244
    0.2043    25.3041    25.5084    93.1708   257.0724        245
    0.1995    25.3193    25.5188    93.1345   258.1461        246
    0.2272    25.3194    25.5466    93.1343   259.2199        247
    0.2356    25.3284    25.5640    93.1130   260.2938        248
    0.2103    25.3293    25.5397    93.1107   261.3678        249
   -0.2362    25.3312    25.0950    93.1063   262.4418        250
    0.2332    25.3377    25.5709    93.0907   263.5161        251
    0.2115    25.3386    25.5501    93.0888   264.5903        252
    0.1610    25.3474    25.5084    93.0677   265.6648        253
    0.1947    25.3485    25.5431    93.0652   266.7393        254
    0.2151    25.3488    25.5640    93.0643   267.8138        255
    0.2356    25.3527    25.5883    93.0551   268.8885        256
    0.2512    25.3544    25.6057    93.0510   269.9632        257
    0.2380    25.3607    25.5987    93.0360   271.0380        258
    0.1863    25.3708    25.5570    93.0121   272.1131        259
    0.2007    25.3841    25.5848    92.9803   273.1886        260
    0.7700    25.3846    26.1545    92.9792   274.2641        261
    0.2236    25.3891    25.6126    92.9686   275.3398        262
    0.2910    25.3981    25.6890    92.9471   276.4157        263
    0.6171    25.3985    26.0156    92.9462   277.4915        264
    0.2813    25.4008    25.6821    92.9402   278.5675        265
    0.2765    25.4056    25.6821    92.9247   279.6436        266
    0.2717    25.4139    25.6856    92.8978   280.7201        267
    0.2079    25.4255    25.6335    92.8600   281.7970        268
    0.2200    25.4309    25.6508    92.8428   282.8741        269
    0.1670    25.4387    25.6057    92.8176   283.9515        270
    0.9589    25.4492    26.4081    92.7834   285.0292        271
    0.8987    25.4503    26.3491    92.7798   286.1071        272
    0.3102    25.4553    25.7655    92.7639   287.1851        273
    0.2813    25.4563    25.7377    92.7604   288.2631        274
    0.2777    25.4600    25.7377    92.7487   289.3413        275
    0.2970    25.4685    25.7655    92.7210   290.4198        276
    0.3439    25.4702    25.8141    92.7156   291.4984        277
    0.2091    25.4765    25.6856    92.6953   292.5772        278
    0.2320    25.4779    25.7099    92.6906   293.6560        279
    0.2777    25.4843    25.7620    92.6700   294.7351        280
    0.2729    25.5030    25.7759    92.6094   295.8149        281
    0.2717    25.5077    25.7794    92.5943   296.8949        282
    0.9300    25.5233    26.4533    92.5437   297.9755        283
    0.2657    25.5241    25.7898    92.5411   299.0561        284
    0.2585    25.5417    25.8002    92.4854   300.1373        285
    0.2849    25.5431    25.8280    92.4817   301.2186        286
    0.2224    25.5466    25.7689    92.4719   302.3000        287
    0.3235    25.5497    25.8732    92.4633   303.3815        288
    0.2958    25.5565    25.8523    92.4444   304.4633        289
    0.2898    25.5591    25.8488    92.4373   305.5451        290
    0.3126    25.5640    25.8766    92.4237   306.6271        291
    0.3186    25.5684    25.8871    92.4115   307.7092        292
    0.2861    25.5696    25.8558    92.4081   308.7913        293
    0.3415    25.5699    25.9114    92.4075   309.8735        294
    0.3535    25.5717    25.9253    92.4023   310.9557        295
    0.2440    25.5736    25.8176    92.3973   312.0380        296
    0.2561    25.5789    25.8349    92.3825   313.1205        297
    0.2248    25.5824    25.8072    92.3728   314.2030        298
    0.2404    25.5876    25.8280    92.3584   315.2858        299
    0.2500    25.5884    25.8384    92.3562   316.3685        300
    0.2669    25.5924    25.8593    92.3451   317.4514        301
    0.3319    25.5934    25.9253    92.3423   318.5344        302
    0.2982    25.5958    25.8940    92.3356   319.6174        303
    0.2922    25.6018    25.8940    92.3189   320.7006        304
    1.1611    25.6048    26.7659    92.3106   321.7839        305
    0.2825    25.6080    25.8905    92.3019   322.8673        306
    0.3487    25.6113    25.9600    92.2928   323.9508        307
