# datafile= 47tuc_fromUV.raw
#  F225mF336 F225 F336     comp       cumweight      pos
-0.879 20.7680 21.6470 0.9481972666 195.294500461 196
-0.901 20.7520 21.6530 0.752274156475 196.623803071 197
-0.889 20.7660 21.6550 0.86116356981 197.785022652 198
-0.717 20.9440 21.6610 0.91594465917 198.876791669 199
-0.896 20.7730 21.6690 0.872963733143 200.02231463 200
-0.812 20.8580 21.6700 0.469725489045 202.151217624 201
-0.823 20.8620 21.6850 0.610466584836 203.789308921 205
-0.909 20.7790 21.6880 0.951130968347 204.84068884 206
-0.636 21.0540 21.6900 0.312505268691 208.040634889 209
-0.827 20.8720 21.6990 0.964800344417 209.077118765 210
-0.866 20.8390 21.7050 0.949469025197 210.13033901 211
-1.063 20.6430 21.7060 0.948978077392 211.184104133 212
-0.916 20.8030 21.7190 0.957756068821 212.228211325 213
-0.751 20.9730 21.7240 0.524935616442 214.13320685 214
-0.684 21.0420 21.7260 0.932472983622 215.205623979 216
-0.876 20.8590 21.7350 0.964202687827 216.242750314 217
-0.817 20.9310 21.7480 0.77605471704 217.531319249 220
-0.926 20.8230 21.7490 0.839714772779 218.72219981 221
-0.755 20.9960 21.7510 0.666268055956 220.223097221 222
-0.516 21.2360 21.7520 0.935443387802 221.292109 223
-0.835 20.9180 21.7530 0.955378029286 222.338815088 224
-0.878 20.8830 21.7610 0.962404565063 223.377879154 226
-0.678 21.0850 21.7630 0.412436232454 225.802496395 227
-0.825 20.9400 21.7650 0.88043287375 226.938301326 228
-0.929 20.8410 21.7700 0.587414539112 228.640676622 229
-0.83 20.9440 21.7740 0.83502218325 229.838249597 230
-0.816 20.9630 21.7790 0.960189448083 230.87971074 231
-0.621 21.1600 21.7810 0.906241611906 231.983169229 232
-0.823 20.9650 21.7880 0.775874765345 233.272037027 233
-0.601 21.1900 21.7910 0.435421755674 235.568660902 234
-0.767 21.0320 21.7990 0.641709390498 237.126998703 235
-0.633 21.1670 21.8000 0.897059298099 238.241752211 236
-0.8 21.0080 21.8080 0.897296585989 239.356210926 238
-1.206 20.6070 21.8130 0.938524633436 240.42171306 239
-0.604 21.2180 21.8220 0.956991853859 241.466654034 240
-0.832 20.9900 21.8220 0.962933498688 242.505147348 241
-0.732 21.0910 21.8230 0.954852500129 243.55242952 242
-0.84 20.9830 21.8230 0.946158378648 244.609335026 243
-0.663 21.1620 21.8250 0.789223508212 245.876403213 244
-0.98 20.8490 21.8290 0.949868296588 246.929180744 245
-0.523 21.3150 21.8380 0.452453232507 249.139353925 247
-2.53 19.3090 21.8390 0.95811159817 250.183073677 248
-0.787 21.0560 21.8430 0.831424999756 251.385827985 249
-0.705 21.1390 21.8440 0.801329429693 252.633754197 250
-0.606 21.2430 21.8490 0.836723334949 253.828892373 251
-0.845 21.0060 21.8510 0.940551496 254.89209838 252
-1.514 20.3390 21.8530 0.954848477797 255.939384963 253
-0.845 21.0130 21.8580 0.941280298487 257.001767764 254
-0.709 21.1510 21.8600 0.897614703009 258.115831512 255
-0.669 21.2010 21.8700 0.820471143533 259.33464342 256
-0.739 21.1310 21.8700 0.959001506814 260.377394649 257
-1.107 20.7710 21.8780 0.957765526071 261.421491531 258
-0.763 21.1230 21.8860 0.86360014639 262.579434828 259
-0.79 21.1050 21.8950 0.860376899522 263.741716149 261
-0.825 21.0760 21.9010 0.939426545473 264.806195331 263
-0.859 21.0420 21.9010 0.959301485019 265.848620486 264
-0.501 21.4030 21.9040 0.730161580189 267.218180358 265
-0.718 21.1940 21.9120 0.926620195675 268.297371169 268
-0.869 21.0440 21.9130 0.950973878463 269.348924763 269
-0.901 21.0130 21.9140 0.951468343658 270.399931879 270
-0.619 21.2950 21.9140 0.953564968818 271.448628122 271
-0.833 21.0890 21.9220 0.469376800779 273.579112624 272
-0.789 21.1390 21.9280 0.951597559763 274.629977026 274
-0.671 21.2590 21.9300 0.854441238487 275.800332522 275
-0.769 21.1630 21.9320 0.814637814796 277.027871905 276
-0.772 21.1610 21.9330 0.719899238588 278.416955191 277
-0.717 21.2170 21.9340 0.919258758735 279.504788176 278
-0.88 21.0550 21.9350 0.736976399492 280.861683731 279
-0.688 21.2500 21.9380 0.559022387081 282.650520856 280
-0.843 21.0970 21.9400 0.952845832239 283.700008576 281
-1.048 20.8950 21.9430 0.889571275685 284.824145593 282
-0.764 21.1810 21.9450 0.950288054932 285.876458094 283
-0.716 21.2310 21.9470 0.556135686617 287.67458043 285
-0.607 21.3420 21.9490 0.505599299425 289.652431272 286
-0.731 21.2200 21.9510 0.550180953688 291.470015093 288
-2.282 19.6690 21.9510 0.786163340176 292.742015387 289
-0.879 21.0750 21.9540 0.946298337937 293.798764575 291
-0.506 21.4550 21.9610 0.462785461764 295.959593042 293
-0.806 21.1580 21.9640 0.912907206939 297.054994626 298
-0.667 21.2990 21.9660 0.734817959013 298.415875899 299
-0.942 21.0280 21.9700 0.959012865921 299.458614777 301
-0.821 21.1530 21.9740 0.740119180675 300.809748522 302
-0.72 21.2570 21.9770 0.866479771773 301.963843554 303
-0.727 21.2570 21.9840 0.875908177192 303.105515736 304
-0.741 21.2430 21.9840 0.882140909094 304.239121478 305
-0.916 21.0710 21.9870 0.604277781908 305.893989537 307
-1.042 20.9470 21.9890 0.948589066961 306.948186802 308
-0.586 21.4040 21.9900 0.475663985731 309.050511195 309
-0.713 21.2790 21.9920 0.720528982302 310.43838042 310
-0.729 21.2710 22.0000 0.884761831789 311.568628091 311
-0.806 21.1980 22.0040 0.95926049428 312.611097791 313
-0.603 21.4030 22.0060 0.88286723123 313.743770933 314
-0.86 21.1470 22.0070 0.943024326492 314.804188964 315
-0.904 21.1070 22.0110 0.845093077442 315.987490575 316
-0.692 21.3210 22.0130 0.488347289835 318.035213621 317
-0.746 21.2670 22.0130 0.935876937235 319.103730176 318
-0.782 21.2320 22.0140 0.958453073367 320.147078074 319
-1.06 20.9540 22.0140 0.700930084241 321.57375389 320
-0.702 21.3200 22.0220 0.930403718207 322.64855613 322
-0.68 21.3470 22.0270 0.792057202067 323.911091206 323
-0.705 21.3230 22.0280 0.686502333295 325.367750494 325
-0.935 21.0960 22.0310 0.856863192667 326.534797939 326
-0.492 21.5470 22.0390 0.87062747336 327.68339482 327
-0.825 21.2150 22.0400 0.940327462544 328.746854136 328
-0.678 21.3680 22.0460 0.449159706324 330.973233719 330
-0.698 21.3490 22.0470 0.809040966876 332.209265071 331
-0.774 21.2770 22.0510 0.779110094815 333.492780722 332
-0.725 21.3270 22.0520 0.78979830483 334.758926767 333
-0.63 21.4230 22.0530 0.474728043158 336.865395964 334
-0.658 21.4030 22.0610 0.86406085309 338.022721859 337
