# datafile= rawdata_47.dat DM606= 13.30 E(606-814)=0.045 compfile= 47tuc_comp.dat
#  F606-F814    F814       F606     comp     cumweight      origpos      xraw       yraw     pos
    0.0707    24.7186    24.7893    94.9050   142.3178       1935        694       1693        137
    0.6267    24.7219    25.3486    94.8831   143.3718       1266       1156       1532        138
    0.0382    24.7268    24.7650    94.8503   144.4261        240        667       1700        139
    0.1911    24.7337    24.9248    94.8038   145.4809       1962        794       1654        140
    0.1911    24.7337    24.9248    94.8038   146.5357       1696        794       1654        141
   -0.0111    24.7379    24.7268    94.7758   147.5908       1920        626       1711        142
    0.0358    24.7396    24.7754    94.7644   148.6460        529        665       1697        143
    1.2104    24.7461    25.9565    94.7210   149.7018        500       1641       1357        144
    0.0178    24.7542    24.7719    94.6669   150.7581       1964        650       1698        145
    0.0178    24.7542    24.7719    94.6669   151.8144       1719        650       1698        146
    0.0202    24.7761    24.7963    94.5203   152.8724       1872        652       1691        147
    0.0262    24.7840    24.8102    94.4675   153.9310       1968        657       1687        148
    0.0262    24.7840    24.8102    94.4675   154.9895       1841        657       1687        149
    0.0972    24.8068    24.9040    94.3150   156.0498        615        716       1660        150
    0.0442    24.8076    24.8518    94.3094   157.1102        623        672       1675        151
    0.0442    24.8076    24.8518    94.3094   158.1705       1878        672       1675        152
    0.0755    24.8180    24.8935    94.2586   159.2314        204        698       1663        153
    0.0527    24.8235    24.8762    94.2625   160.2923        523        679       1668        154
    0.0840    24.8339    24.9178    94.2700   161.3531       1961        705       1656        155
    0.0840    24.8339    24.9178    94.2700   162.4138       1670        705       1656        156
    0.3162    24.8344    25.1506    94.2704   163.4746       1245        898       1589        157
    0.0166    24.8353    24.8518    94.2710   164.5354       1346        649       1675        158
    0.0166    24.8353    24.8518    94.2710   165.5962       1937        649       1675        159
    0.0767    24.8689    24.9456    94.2953   166.6567       1940        699       1648        160
    0.0767    24.8689    24.9456    94.2953   167.7172       1391        699       1648        161
    0.0791    24.8734    24.9526    94.2986   168.7776       1028        701       1646        162
